the_geom,OBJECTID,WARD,PARCEL,PID_LONG,WPD,BATCH,OBJECTID_1,PID,CM_ID,OWNER,ST_NUM,ST_NAME,ST_NAM_SUF,UNIT_NUM,ZIPCODE,FULL_ADDRE,LU,PTYPE,LOTSIZE,MAIL_ADDRE,MAIL_CS,MAIL_ZIP,OWN_OCC,GROSS_AREA,BLDG_AREA,AV_TOTAL,AV_LAND,AV_BLDG,GROSS_TAX,GROSS_TAX_,NUM_FLOORS
"MULTIPOLYGON (((-71.08582859684459 42.3292074913905, -71.08585145019465 42.32906226544992, -71.0859332412912 42.329072120032414, -71.08593220549166 42.329075820710706, -71.08591164590642 42.32914927618181, -71.08590665399757 42.32916160853488, -71.08589885987135 42.329173113317715, -71.08588849895116 42.329183443023624, -71.08587588419192 42.32919228563933, -71.08586139662721 42.32919937406971, -71.08584547385999 42.32920449420545, -71.08582859684459 42.3292074913905)))",63377,9,3242-10,0903242010,09-05-060,0,69596,0903242010,,CITY OF BOSTON,,GUILD,RO,,02119,GUILD RO,E,902,951,26 COURT ST,BOSTON MA,02108,N,0,0,7100,7100,0,0,0,0
"MULTIPOLYGON (((-71.07247729412515 42.301158362747195, -71.07276558565117 42.30114892652739, -71.07280387382666 42.30137666808527, -71.07280583673288 42.301382296926825, -71.0724762693962 42.30138428988401, -71.0721664296219 42.30138602992266, -71.07216702487774 42.30138138794206, -71.07216775471221 42.30134000463611, -71.07216648399371 42.30129855522235, -71.07216319206735 42.30116864295683, -71.07247729412515 42.301158362747195)))",63517,14,1408,1401408000,14-04-075,0,87759,1401408000,,MENTAL HEALTH PROGRAM INC,64,BOWDOIN,ST,,02121,64 BOWDOIN ST,E,902,13960,950 CAMBRIDGE ST,CAMBRIDGE MA,02141,N,5241,5116,496400,144800,351600,0,0,2
"MULTIPOLYGON (((-71.12218669327737 42.2940144249823, -71.12240554363765 42.29381202863844, -71.12241775500156 42.29381895831196, -71.12253343123908 42.29388704722346, -71.12230649337877 42.29408437058725, -71.12218669327737 42.2940144249823)))",63527,19,2906,1902906000,19-11-010,0,129060,1902906000,,CITY OF BOSTON,,COLGATE,RD,,02131,COLGATE RD,E,902,4820,COLGATE RD,ROSLINDALE MA,02131,N,0,0,32400,32400,0,0,0,0
"MULTIPOLYGON (((-71.0673417196636 42.278167686629544, -71.06761268758245 42.27809893369049, -71.06774906022838 42.27835936647825, -71.0678645744065 42.27857812258409, -71.06788744868685 42.27861995770746, -71.06782030959086 42.27864001293733, -71.06761491072072 42.27870196715685, -71.06744313602692 42.27875140477204, -71.06731278586763 42.27878914993264, -71.06716417454716 42.27883338834839, -71.06702203707289 42.278875194689476, -71.06688088599005 42.27891727292912, -71.06670178821804 42.27897175202058, -71.0665287257414 42.279024406389745, -71.06627271971564 42.27909992135098, -71.06639146386901 42.278686056513344, -71.06646516728617 42.27840917091341, -71.06693986829441 42.27827814559633, -71.0670715525895 42.27824023465286, -71.06720699315179 42.278202781165135, -71.0673417196636 42.278167686629544)))",63615,17,4193,1704193000,17-04-085,0,107434,1704193000,,CITY OF BOSTON,,DORCHESTER,AV,,02124,DORCHESTER AV,E,902,87120,DORCHESTER AVE,DORCHESTER MA,02124,N,0,0,189900,189900,0,0,0,0
"MULTIPOLYGON (((-71.09924505658127 42.322490446933514, -71.09927860100437 42.32258252543, -71.0991792175483 42.322572577425426, -71.09915581567103 42.322508339663905, -71.09924505658127 42.322490446933514)))",63851,11,1177-3,1101177003,11-04-020,0,74912,1101177003,,CITY OF BOSTON,,CENTRE,ST,,02119,CENTRE ST,E,902,738,CENTRE   ST,ROXBURY   MA,02119,N,0,0,3300,3300,0,0,0,0
"MULTIPOLYGON (((-71.07960109560148 42.31668021985541, -71.07988490071443 42.31646375136234, -71.08001489730675 42.316556563201864, -71.07972284874955 42.31677605261757, -71.07972284613497 42.31677605436426, -71.07960109560148 42.31668021985541)))",64293,12,987,1200987000,12-06-045,0,79841,1200987000,,CITY OF BOSTON BY FCL,41,MAYWOOD,ST,,02119,41 MAYWOOD ST,E,902,5343,41 MAYWOOD,ROXBURY MA,02119,N,0,0,71900,71900,0,0,0,0
"MULTIPOLYGON (((-71.06503104199392 42.31930259817118, -71.0651977294769 42.319363150313286, -71.06519482864428 42.319367921736216, -71.0650432817282 42.31931211146442, -71.06504257840342 42.319311819726835, -71.06504171401937 42.3193114276257, -71.06504087236132 42.31931101717014, -71.06504004349456 42.319310587707854, -71.06503923006014 42.31931013371669, -71.06503845118144 42.319309661767115, -71.06503768793314 42.31930917090942, -71.0650369516094 42.319308653370975, -71.06503622368032 42.3193081195314, -71.06503554862745 42.3193075706127, -71.06503488541863 42.319307002771474, -71.0650342454097 42.319306416489795, -71.06503363183711 42.31930582293201, -71.06503305607455 42.31930520273475, -71.06503250763564 42.319304566659156, -71.06503198151165 42.31930392039412, -71.06503149306327 42.319303267071014, -71.06503104199392 42.31930259817118)))",64326,7,3831,0703831000,07-10-035,0,63090,0703831000,,CITY OF BOSTON BY FCL,,GENE,ST,,02125,GENE ST,E,902,91,GENE,DORCHESTER MA,02125,N,0,0,200,200,0,0,0,0
"MULTIPOLYGON (((-71.07734086872101 42.318898464538876, -71.07741092830864 42.318893292505145, -71.07741227416798 42.3189059573365, -71.07741892855204 42.318968114991556, -71.07742500131634 42.3190279085512, -71.07741281346205 42.319029106799974, -71.07735745235226 42.31903291104193, -71.07734086872101 42.318898464538876)))",64530,13,404,1300404000,13-01-040,0,82276,1300404000,,CITY OF BOSTON BY FCL,6,FAIRBURY,ST,,02125,6 FAIRBURY ST,E,902,1116,6 FAIRBURY ST,DORCHESTER MA,02125,N,0,0,7800,7800,0,0,0,0
"MULTIPOLYGON (((-71.16446171906975 42.27450240896385, -71.16452149192149 42.27435970506031, -71.16481057534202 42.27445275440134, -71.16478719873253 42.27451890211108, -71.16476607505552 42.27457867474407, -71.16446171906975 42.27450240896385)))",64597,20,9420,2009420000,20-16-005,0,143662,2009420000,,CITY OF BOSTON,,MIAMI,AV,,02132,MIAMI AV,E,902,3728,MIAMI AVE,WEST ROXBURY MA,02132,N,0,0,22300,22300,0,0,0,0
"MULTIPOLYGON (((-71.1193260822838 42.29087558648464, -71.11940406687661 42.290475073356454, -71.11953520958357 42.29054691155138, -71.11993593954989 42.29075084679892, -71.11995407790116 42.29076230584104, -71.1199840052362 42.290782215641315, -71.12000916137677 42.290799988292704, -71.12003556845889 42.29081975498094, -71.1200597927056 42.290838978440064, -71.12008498480877 42.290860187360096, -71.12010862368409 42.290881336782654, -71.1201322808726 42.29090385243795, -71.12015223221614 42.2909271913652, -71.12017107877641 42.29095102856874, -71.12018879560821 42.29097534254067, -71.12020535640191 42.2910001026359, -71.12022073583998 42.29102527048527, -71.12023493074248 42.2910508239502, -71.12024791810671 42.29107673309901, -71.12025968017147 42.29110296169489, -71.12027019155161 42.291129482608305, -71.12027946670116 42.29115625198138, -71.12028746552102 42.29118325071459, -71.12029418826233 42.291210436659256, -71.12029963837618 42.291237786293465, -71.120303790616 42.29126524930554, -71.12030665974028 42.2912928099383, -71.1203082275479 42.2913204263332, -71.12030849795035 42.291348077077195, -71.12030745993945 42.29137570417802, -71.12030513626975 42.29140329963219, -71.12030150077562 42.29143080855852, -71.12029658341098 42.29145820576613, -71.1202903805475 42.29148546489929, -71.12028290759162 42.291512541049, -71.12027416088556 42.291539412776864, -71.12026415488553 42.29156603587324, -71.12025290156237 42.29159238614125, -71.1202404157443 42.29161843623229, -71.12022672662066 42.291644130745304, -71.12021181668416 42.291669469973314, -71.12019574870861 42.29169439932871, -71.12017850391727 42.29171889416169, -71.1201601089195 42.291742934889804, -71.12014222075751 42.291767459641314, -71.12005042638778 42.29190494159328, -71.11994806029416 42.292062110425725, -71.11915024373324 42.293299409978886, -71.11912716955197 42.29333923553617, -71.11904639141694 42.29349345894058, -71.11897936298236 42.293649125148356, -71.11891079264375 42.293815870422634, -71.118803882311 42.29409879881243, -71.11846687596037 42.29423149490526, -71.11841699242994 42.294302030048335, -71.11838330130477 42.2943603518195, -71.11838412540575 42.294450664187984, -71.1183884916474 42.294574779889786, -71.11833334668718 42.2945805886347, -71.1179976115229 42.294620571549494, -71.1180718557411 42.294463213903256, -71.11828664868916 42.29400129939298, -71.11836249555031 42.29383039521959, -71.11855703768671 42.29339203708119, -71.11879947619147 42.292776323230505, -71.1189497027438 42.2923459482394, -71.11894790774866 42.29234562739238, -71.11901365036282 42.29215486175026, -71.1190695605873 42.29196621898045, -71.11919133878007 42.291555336685505, -71.11919933245568 42.291528363842026, -71.1192099208003 42.291473848447716, -71.1193260822838 42.29087558648464)))",64696,19,3515,1903515000,19-07-010,0,129705,1903515000,,CITY OF BOSTON,170 40,BROOKWAY,RD,,02131,170 40 BROOKWAY RD,E,902,275058,170 BROOKWAY RD,ROSLINDALE MA,02131,N,275976,206982,19847900,3870100,15977800,0,0,3
