MainID,St_name,Dist,DistName,StartTime,EndTime,Side,from,to,miles,oneway,week1,week2,week3,week4,week5,sunday,monday,tuesday,wednesday,thursday,friday,saturday,everyday,yearround
1805,Mission St,10M,Mission Hill,12:00,16:00,Odd,Stockwell St,Huntington Ave,0.0797,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
1806,Mitchell St,5,South Boston,13:00,17:00,Odd,West Ninth St,Old Colony Ave,0.0864,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
1807,Monks St,5,South Boston,09:00,13:00,Odd,East Sixth St,East Seventh St,0.0568,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
1808,Monmouth St,9,East Boston,12:00,16:00,Odd,Meridian St,Brooks St,0.1773,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
1809,Monmouth St,9,East Boston,12:00,16:00,Even,Meridian St,Brooks St,0.1773,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
1810,Priesing St,2,Jamaica Plain,12:00,16:00,Even,Mozart St,Chestnut Ave,0.1345,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
1811,Monsignor Albert A Jacobbe Rd,9,East Boston,12:00,16:00,Even,Clipper Ship Ln,Dead End,0.0328,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
1812,Monsignor Albert A Jacobbe Rd,9,East Boston,12:00,16:00,Odd,Clipper Ship Ln,Dead End,0.0328,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
1813,Monson St,7,South Dorchester,12:00,16:00,Even,Temple St,Sturbridge St,0.1057,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
1814,Monson St,7,South Dorchester,12:00,16:00,Odd,Temple St,Sturbridge St,0.1057,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
1815,Montebello Rd,2,Jamaica Plain,08:00,12:00,Odd,Brookside Ave,Walnut Ave,0.3250,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
1816,Montebello Rd,2,Jamaica Plain,08:00,12:00,Even,Brookside Ave,Walnut Ave,0.3250,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
1817,Montello St,3,North Dorchester,08:00,12:00,Even,Arcadia St,Robinson St,0.0746,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
1818,Montello St,3,North Dorchester,08:00,12:00,Odd,Arcadia St,Robinson St,0.0746,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
1819,Montfern Ave,4,Allston/Brighton,08:00,12:00,Even,Washington St,Faneuil St,0.1595,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
1820,Montfern Ave,4,Allston/Brighton,08:00,12:00,Odd,Washington St,Faneuil St,0.1595,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
1821,Montgomery St,1S,South End,12:00,16:00,Even,Clarendon St,West Canton St,0.1848,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
1822,Montgomery St,1S,South End,12:00,16:00,Odd,Clarendon St,West Canton St,0.1848,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False
1823,Montrose St,10R,Roxbury,08:00,12:00,Even,Warren St,Moreland St,0.1580,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
1824,Montrose St,10R,Roxbury,08:00,12:00,Odd,Warren St,Moreland St,0.1580,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
1825,Monument Ave,1C,Charlestown,08:00,12:00,Even,Main St,Monument Sq,0.1612,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
1826,Monument Ave,1C,Charlestown,08:00,12:00,Odd,Main St,Monument Sq,0.1612,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
1827,Monument Ct,1C,Charlestown,08:00,12:00,Even,Winthrop St,Dead End,0.0500,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
1828,Monument Ct,1C,Charlestown,08:00,12:00,Odd,Winthrop St,Dead End,0.0500,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
1829,Monument Sq,1C,Charlestown,08:00,12:00,Odd,Monument St,High St,0.1326,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
1830,Potosi St,3,North Dorchester,08:00,12:00,Even,Percival St,Mount Ida Rd,0.0731,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
1831,Monument Sq,1C,Charlestown,08:00,12:00,Even,High St,Monument Ave,0.0407,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
1832,Monument St,1C,Charlestown,08:00,12:00,Even,Monument Sq,Bunker Hill St,0.0837,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
1833,Parsons St,4,Allston/Brighton,12:00,16:00,Even,Washington St,Faneuil St,0.4809,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
1834,New St,9,East Boston,08:00,12:00,Odd,Sumner St,Maverick St,0.0966,False,True,True,True,True,True,False,False,False,True,False,False,False,False,False
1835,Monument St,1C,Charlestown,08:00,12:00,Odd,Monument Sq,Bunker Hill St,0.0837,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
1836,Monument St,1C,Charlestown,08:00,12:00,Even,Bunker Hill St,Medford St,0.1218,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
1837,Monument St,1C,Charlestown,08:00,12:00,Odd,Bunker Hill St,Medford St,0.1218,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
1838,Moore St,9,East Boston,12:00,16:00,Even,Saratoga St,Dead End,0.2313,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
1839,Moore St,9,East Boston,12:00,16:00,Odd,Saratoga St,Dead End,0.2313,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
1840,Moraine St,2,Jamaica Plain,12:00,16:00,Odd,Centre St,Jamaicaway,0.2809,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
1841,Moraine St,2,Jamaica Plain,12:00,16:00,Even,Centre St,Jamaicaway,0.2809,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
1842,Moreland St,10R,Roxbury,08:00,12:00,Even,Warren St,Blue Hill Ave,0.4063,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
1843,Moreland St,10R,Roxbury,08:00,12:00,Odd,Warren St,Blue Hill Ave,0.4063,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
1844,Polk St,1C,Charlestown,08:00,12:00,Odd,Bunker Hill St,Medford St,0.1290,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
1845,Morrill St,3,North Dorchester,12:00,16:00,Even,Pleasant St,Bakersfield St,0.0833,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
1846,Morrill St,3,North Dorchester,12:00,16:00,Odd,Pleasant St,Bakersfield St,0.0833,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
1847,Price Rd,4,Allston/Brighton,08:00,12:00,Even,Glenville Ave,Long Ave,0.0580,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
1848,Porter St,9,East Boston,08:00,12:00,Odd,Havre St,Chelsea St,0.1352,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
1849,Morris St,9,East Boston,12:00,16:00,Even,Marion St,Putnam St,0.2269,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
1850,Morris St,9,East Boston,12:00,16:00,Odd,Marion St,Putnam St,0.2269,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
1851,Morse St,3,North Dorchester,12:00,16:00,Even,Washington St,Ronald St,0.0697,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
1852,Morse St,3,North Dorchester,12:00,16:00,Odd,Washington St,Ronald St,0.0697,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
1853,Morton St,99,DCR,08:00,12:00,Even,South St,American Legion Hwy,1.3174,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
1854,Morton St,99,DCR,08:00,12:00,Odd,Washington St,Blue Hill Ave,1.8019,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
1855,Moseley St,3,North Dorchester,08:00,12:00,Even,Crescent Ave,Sydney St,0.1581,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
1856,Moseley St,3,North Dorchester,08:00,12:00,Odd,Crescent Ave,Sydney St,0.1581,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
1857,Moulton St,1C,Charlestown,08:00,12:00,Even,Bunker Hill St,Vine St,0.0322,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
1858,Moulton St,1C,Charlestown,08:00,12:00,Odd,Bunker Hill St,Vine St,0.0322,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
1859,Moultrie St,7,South Dorchester,08:00,12:00,Even,Allston St,Washington St,0.2638,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
1860,Moultrie St,7,South Dorchester,08:00,12:00,Odd,Allston St,Washington St,0.2638,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
1861,Mountain Ave,7,South Dorchester,08:00,12:00,Odd,Woodrow Ave,Ballou Ave,0.2331,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
1862,Mountain Ave,7,South Dorchester,08:00,12:00,Even,Woodrow Ave,Ballou Ave,0.2331,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
1863,Mount Bowdoin Ter,3,North Dorchester,12:00,16:00,Even,Eldon St,Mallon Rd,0.1725,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
1864,Mount Bowdoin Ter,3,North Dorchester,12:00,16:00,Odd,Eldon St,Mallon Rd,0.1725,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
1865,Mozart St,2,Jamaica Plain,12:00,16:00,Odd,Centre St,Lamartine St,0.2549,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
1866,Mozart St,2,Jamaica Plain,12:00,16:00,Even,Centre St,Lamartine St,0.2549,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
1867,Monsignor Patrick J Lydon Way,7,South Dorchester,08:00,12:00,Odd,Dorchester Ave,Adams St,0.4063,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
1868,Monsignor Patrick J Lydon Way,7,South Dorchester,08:00,12:00,Even,Dorchester Ave,Adams St,0.4063,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
1869,Paxton St,7,South Dorchester,12:00,16:00,Even,Blue Hill Ave,Harvard St,0.0555,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
1870,New St,9,East Boston,08:00,12:00,Even,Sumner St,Maverick St,0.0966,False,True,True,True,True,True,False,False,False,True,False,False,False,False,False
1871,Nightingale St,3,North Dorchester,12:00,16:00,Odd,Bernard St,Talbot Ave,0.2898,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
1872,Mt Everett St,3,North Dorchester,12:00,16:00,Odd,Quincy St,Hamilton St,0.1496,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
1873,Mt Everett St,3,North Dorchester,12:00,16:00,Even,Quincy St,Hamilton St,0.1496,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
1874,Mount Ida Rd,3,North Dorchester,08:00,12:00,Odd,Bowdoin St,Robinson St,0.3716,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
2577,Tufts St,1T,Chinatown,00:01,07:00,,Lincoln St,South St,0.0504,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1875,Mount Ida Rd,3,North Dorchester,08:00,12:00,Even,Bowdoin St,Robinson St,0.3716,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
1876,Mt Hood Rd,4,Allston/Brighton,08:00,12:00,Even,Corey Rd,Commonwealth Ave,0.1388,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
1877,Mt Hood Rd,4,Allston/Brighton,08:00,12:00,Odd,Corey Rd,Commonwealth Ave,0.1388,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
1878,Mt Pleasant Ave,10R,Roxbury,08:00,12:00,Even,Dudley St,Dudley St,0.4093,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
1879,Mt Pleasant Ave,10R,Roxbury,08:00,12:00,Odd,Dudley St,Dudley St,0.4093,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
1880,Mt Vernon St,1H,Beacon Hill,08:00,12:00,Odd,Joy St,Charles St,0.2708,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False
1881,Mt Vernon St,1H,Beacon Hill,08:00,12:00,Even,Joy St,Charles St,0.2708,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
1882,Mt Vernon St,1H,Beacon Hill,08:00,12:00,Odd,River St,Dead End,0.1032,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False
1883,Mt Vernon St,1H,Beacon Hill,08:00,12:00,Even,River St,Dead End,0.1032,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
